                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59254,                 1.7577,                 1.3872,                    1.1,                0.77609,                      1,                0.98884,                0.85779,                0.77609,                      1,                0.98884,                0.89424,                 0.5525,                   1.13,                 3.2452,                 1.2967,                0.00046,                0.00046,                0.00046
                      2,                0.52453,                0.53223,                0.64096,                 1.0337,                0.24415,                0.93333,                0.60663,                0.37408,                0.21799,                0.83333,                0.50179,                0.22023,                0.88748,                 18.677,                 10.334,                 1.6853,             0.00092139,             0.00092139,             0.00092139
                      3,                0.66268,                0.62155,                0.70251,                 1.1141,                0.05087,                    0.6,                0.04116,                0.01086,                0.04573,                0.56667,                0.03331,                0.01043,                 2.4725,                 35.333,                 24.405,                 3.1311,              0.0013638,              0.0013638,              0.0013638
                      4,                0.65052,                0.70098,                0.68637,                  1.112,                0.51983,                0.36667,                0.40432,                0.21027,                0.62845,                0.33333,                0.36942,                0.20798,                 1.6744,                 21.978,                 2.6578,                 2.7434,              0.0017871,              0.0017871,              0.0017871
                      5,                0.67674,                0.63759,                0.67226,                  1.112,                 0.0071,                    0.1,                0.00279,                0.00043,                0.00795,                0.03333,                0.00202,                0.00038,                 4.4593,                 12.854,                 5.7451,                  5.905,              0.0018416,              0.0018416,              0.0018416
                      6,                0.61728,                0.51344,                0.57384,                 1.0902,                0.03726,                0.06667,                0.00938,                 0.0044,                0.03726,                0.06667,                0.00938,                 0.0041,                 3.6407,                  7.919,                 4.1653,                 4.1431,               0.001802,               0.001802,               0.001802
                      7,                0.62285,                0.57597,                0.57325,                 1.0691,                0.01108,                0.03333,                 0.0018,                0.00051,                0.01108,                0.03333,                0.00155,                0.00042,                  4.956,                 11.942,                 6.8862,                 5.0118,              0.0017624,              0.0017624,              0.0017624
                      8,                0.56863,                0.46526,                0.52824,                 1.0417,                0.68008,                    0.8,                0.82412,                0.65262,                0.68008,                    0.8,                0.82412,                0.69252,                0.76315,                0.51012,                 1.8739,                 1.5985,              0.0017228,              0.0017228,              0.0017228
                      9,                0.56203,                0.50628,                0.50826,                  1.025,                  0.648,                0.79779,                0.75786,                0.21331,                  0.648,                0.79779,                0.77651,                0.25176,                 1.9989,                0.49289,                 2.4243,                 2.3727,              0.0016832,              0.0016832,              0.0016832
                     10,                0.54953,                0.51409,                0.48881,                 1.0364,                0.98049,                0.96667,                0.97906,                0.82488,                0.98049,                0.96667,                0.97906,                0.86959,                0.61972,                0.69667,                 1.4754,                 1.4411,              0.0016436,              0.0016436,              0.0016436
                     11,                0.54471,                0.51316,                 0.4866,                 1.0141,                 0.7984,                0.92427,                0.91843,                0.62443,                 0.7984,                0.92427,                0.91843,                0.64836,                0.86609,                0.55776,                 1.5608,                 1.5338,               0.001604,               0.001604,               0.001604
                     12,                0.48649,                0.42969,                0.42578,                0.99741,                 0.8735,                0.96667,                0.95708,                0.62208,                 0.8224,                    0.9,                0.91815,                0.64858,                0.93599,                 1.5497,                 1.0767,                 1.6043,              0.0015644,              0.0015644,              0.0015644
                     13,                0.50131,                0.42758,                0.44911,                 1.0041,                0.99923,                      1,                  0.995,                0.87757,                0.99923,                      1,                  0.995,                0.94116,                0.51642,                0.43528,                0.75691,                 1.1727,              0.0015248,              0.0015248,              0.0015248
                     14,                0.50002,                0.43497,                0.44913,                0.98594,                0.88208,                0.99741,                0.96848,                0.81549,                0.88208,                0.99741,                0.96848,                0.86544,                0.55185,                0.44449,                0.95113,                 1.1755,              0.0014852,              0.0014852,              0.0014852
                     15,                0.46844,                0.40835,                0.40192,                0.98398,                0.73255,                0.73048,                0.76705,                0.62804,                0.73255,                0.73048,                0.76447,                0.70132,                0.67192,                0.37201,                 1.1947,                 1.2623,              0.0014456,              0.0014456,              0.0014456
                     16,                0.48576,                0.42817,                0.42301,                0.98624,                0.93379,                      1,                0.96646,                0.91516,                0.93379,                      1,                0.96646,                0.96342,                0.40702,                0.18961,                0.52762,                 1.0127,               0.001406,               0.001406,               0.001406
                     17,                0.46707,                0.42918,                0.40497,                0.97456,                0.91345,                0.73333,                0.87778,                0.60201,                0.91345,                0.73333,                0.87778,                0.65201,                0.71399,                0.21163,                 1.3109,                 1.4292,              0.0013664,              0.0013664,              0.0013664
